"Res. Center for Microperipherik, Technische Univ. Berlin, Germany",0,0,O. Willum,1,0.0000,new product;product group;active product;long product lifetime;old product;product generation;new technology;environmental benefit;environmental choice;environmental consequence,0.0000
"Wayne State University;Anonymous, USA;A Commercial Submission from DEALTE, Sauletekio al. 15, LT10224 Vilnius, Lithuania",67,3,Anon et al,47,12.2500,security consultant;network security;security book;security issue;computer science;Internet security;Linux security;Linux security book;Macintosh security;Web application security,19.9959
"University of Manitoba, Winnipeg, Canada",2,1,Roberta M. Melvin,1,1.0000,networked technology;work practice;work purpose;broadband access;networked technologyWhile worker;remote community;remote environment;remote perspective;signal access;continued challenge,1.5000
,0,0,Gregory Brozak,1,0.0000,miniband transport;semiconductor superlattices,0.0000
,1,1,Palle Yourgrau,1,1.0000,Forgotten Legacy,1.0000
"Computational Topology and Applied Mathematics Group, Applied Mathematics I Department, University of Seville, Spain",0,0,Pedro Real,1,0.0000,forestsTriangle three-dimensional mesh;triangle mesh compression;available valence-driven method;efficient compression;valence-driven approach;Homological Spanning Forests;arbitrary topology;huge amount;image analysis;lossless method,0.0000
,0,0,R. R. Wagner,1,0.0000,Czech Republic;Expert Systems Applications;Fourth International Conference,0.0000
,0,0,Cheng Xu,2,0.0000,Thin-Walled Vessel;multidisciplinary optimization software iSIGHT;optimization design;optimization design platform;optimization method;optimization scheme;subsystem-level optimization;system-level optimization;Thermal Shock;high temperature,0.0000
"Dept. of Comput. Sci., Texas Univ., Richardson, TX, USA;Ericsson, Inc., Plano, TX, USA",6,2,C. Xu,7,1.5833,energy consumption;minimum number;experimental result;segmented bus;dynamic energy consumption;sensor node;inter-cluster data transfer;static energy consumption;average reduction;intercluster connection network,2.4653
,0,0,J. G. López-Salas,1,0.0000,Monte Carlo simulation;dynamic SABR stochastic volatility;GPU technology;asymptotic formula;computational time;calibration purpose;SABR model;dynamic model;CPU computation;USD exchange rate,0.0000
,0,0,Yun Zhang,1,0.0000,plant foliage;Robust Plant Recognition;weed control;crop plant;individual plant;machine vision reflectance-based plant;plant recognition;plant species;plant species identification;spectroscopy-based plant recognition,0.0000
,0,0,Xingsheng Gu,1,0.0000,uncertain programming model;Supply Chain Production Planning;fuzzy grey variable;input-output data;Hybrid UncertaintiesThe uncertain parameter;grey two-fold uncertain factor;grey uncertain condition;uncertain function;uncertain parameter;fuzzy grey simulation technology,0.0000
,0,0,Xiaosong Gu,3,0.0000,current intensity;joule heat;ice type;Expert System;adaptive PID controller;heat balance equation;overhead line;overhead transmission line;transmission line;atmospheric temperature,0.0000
"Department of Surgery, LAC+USC Medial center, Keck School of Medicine, University of Southern California, Los Angeles CA, USA",0,0,Charles C. J. Wo,1,0.0000,stochastic model;survival probability;cardiac function;pulmonary function;tissue perfusion function;acute emergency;acute illnessThe aim;cardiac output;outcome prediction;arterial blood pressure,0.0000
"Department of Computer Science, University of Regina, Regina, Saskatchewan, Canada",15,2,Jigang Luo,4,5.5000,hree-way decision approach;loss function;granular state space;legitimate email;granular computing;new approach;progressive computing;spam emails;spam filteringMany classification technique;spam precision,3.5833
"HP Labs, Palo Alto, California 94304",0,0,Shelen Jain,1,0.0000,Review SOAR process;SOAR process;decision-making process;delivery manager;diverse delivery role;resource allocation decision;resource planning RP;service delivery cost;HP Enterprise Services Uses;Hewlett-Packard HP Enterprise Services,0.0000
"School of Mathematics and Information, Ludong University, Yantai, 264025, China",0,0,Jie Luo,1,0.0000,stability robustness;dual-rate inferential control systemsFor;inferential controller;model-based inferential control scheme;closed-loop system;corresponding fast single-rate controller;dual-rate sample system;global uncertainty description;different output sampling;low computational requirement,0.0000
,0,0,Chunhua Li,1,0.0000,oil product;food traceability;food traceability system;new traceability framework;traceability database design;traceability system;food safety management;food safety problem;Electronic terminal design;code design,0.0000
"School of Arts, Science and Humanities, State University of Sao Paulo, Sao Paulo, SP, Brazil",1,1,Marcus Vinicius Cerrato,1,0.2500,ErgoCoIn Version;diagnose usability problem;new presentation questionnaire window;new version;usability expert;acceptance test;accessible system;basic objective;higher quality;mobile device,0.1458
,0,0,Juan Liu,1,0.0000,Improved Lexical Chain;WSD algorithm;new unsupervised WSD method;Combining Lexical Stability;high accuracy;lexical chain system;lexical stability;significant higher accuracy;Sense Disambiguation;Unsupervised Word Sense DisambiguationWord,0.0000
"Institute of Computer Science and Technology, Peking University, Beijing, P.R. China",3,1,Jiaying Liu,4,0.9167,allocation algorithm;proposed bit allocation algorithm;R-D characteristic;proposed R-D model;bit allocation;joint bit allocation problem;low-complexity bit allocation algorithm;model-based spatial layer bit;experimental result;optimal R-D performance,1.7431
"College of Power and Mechanical Engineering, Wuhan University, Hubei, China",0,0,Cheng Li,1,0.0000,inspection robot;double-circuit transmission line;high-voltage transmission line;horizontal line;D-H method;kinematics equation;manual inspection;China Power Grid;Double-Circuit Transmission Line Inspection;double anti-symmetrical retractable arm,0.0000
,0,0,Junzhou Liu,1,0.0000,designs power grid visualization;high efficiency power grid;power grid;power grid knowledge visualization;power grid operating condition;power grid operating knowledge;power grid visualization technology;power system operating stability;operating condition display;Power Gird Knowledge VisualizationThe,0.0000
"Logistics Technology Research Department, Korea Maritime Institute, Seoul, South Korea 121915",1,1,Seung Hwan Won,1,0.3333,yard crane;container terminal;decision-making framework;Workload-based yard-planning system;intelligent yard-planning activity;yard-planning problem;yard plan;yard space;container terminalsTraditionally;integrated decision-making framework,0.6111
,0,0,Jing Xiao,1,0.0000,baseline object detector;Caltech pedestrian dataset;aware detector;baseline detector;proposed MOCO detector;successful deformable-part-model detector;updated detector;MOCO feature;binary context feature;context feature,0.0000
"Management Department, Zhengzhou Information Science and Technology Institute, Zhengzhou, China",0,0,Chenguang Li,2,0.0000,Knowledge Discovery;new knowledge;extension method;extension set;contradiction problem;data mining;Extension SetExtenics;knowledge througt analysis,0.0000
,0,0,Yuan Tan,1,0.0000,Fine-Grained NAND Flash ProgrammerExisting;NAND Flash memory chip;NAND Flash programmer;fine-grained NAND Flash programmer;data transmission;partial data;programmer software;small data unit;fine-grained communication protocol;flash chip,0.0000
"Chinese Academy of Surveying and Mapping, Beijing, China",0,0,Jiping Liu,2,0.0000,raster data;multi dimension data;spatial data mining;Data Mining;Government GIS;certain region;related knowledge;schematic knowledge;useful knowledge;complex spatial database,0.0000
,0,0,Ming-Puu Chen,1,0.0000,prime number concept;high prior knowledge;low prior knowledge;prior knowledge;RPG Game;better performance;exploratory RPG game-playing;Mathematic ConceptsThis study;effective educational tool;elementary student,0.0000
"Clausthal University of Technology, Germany",2,1,J. C.  Acosta Guadarrama,4,1.3333,knowledge base;knowledge representation;logic program;important topic;Encoding knowledge;Implementing knowledge update sequencesUpdate;inconsistent static knowledge base;update semantics;conflicting information;Artificial Intelligence,1.6111
,0,0,Xinfa Ge,1,0.0000,sailing route;optimal attack angle;optimal route base;optimal wind-angles;upwind sailing;sailboard game;sailboard sport;Optimal Route Basing;best principle;important issue,0.0000
,0,0,Junfeng Chen,1,0.0000,grid voltage;feed-back controller;load current;control system;great influence;harmonic detection method;interference value;slow interference;Active Power FilterThe;Simulation Analysis,0.0000
,0,0,Xuebin Ge,1,0.0000,data warehouse;Data WarehouseThe data warehouse;cost model;query cost view;total view maintenance cost;query response time;right view;selection problem;Materialized Views Selection;important decision,0.0000
,0,0,Keun Lee,1,0.0000,software product line method;consumer electronics;Product LineAs software product;reusing software architecture;separate software product;software architecture;software product;software quality;product family;Platform Maintenance,0.0000
,0,0,Ki-Kwang Lee,1,0.0000,meteorological information;distributive business;inventory cost;supply chain;backlog cost;ways meteorological information;overall supply chain;consumer behavioral pattern;quantitative use;Decision-Making Patterns,0.0000
"Suite, Lincoln, NE",0,0,Anthony Ngo,1,0.0000,new GIS system;snow complaint GIS;snow complaint GIS system;efficient traffic crash;traffic crash;Lincoln Public Works department;indexing algorithm;older Criminal Justice Information;rectangular range query;relational database,0.0000
"Dept. of Information and Communications, PyeongTaek University, PyeongTaekSi, KyungKiDo, Korea",1,1,Kyunghee Lee,1,1.0000,graph matching;Hand-written digits recognition;annealing technique;neural network model;conventional recognition model;elastic graph matching;neural networksMean field annealing;one-variable stochastic simulated annealing;paper hand-written digits recognition;cost function,1.0000
,6,1,Shih-An Chen,1,2.0000,indoor environment;prediction error;neural network;genetic algorithm;sampling point;LAN prediction tool;indoor wireless;prediction result;local area;neural network concept,0.6667
"Open University of the Netherlands, University of Twente;University of Twente",8,2,Elisabeth M. A. G van Dijk,9,2.0167,distance education;web page;robot tour guide;distance teamwork;motion cue;multiagent system;simulation software;virtual driving instructor;robotic outdoor guideThis paper;undergraduate student paper,1.5631
"Department of Electronics Information Engineering, Nanchang University, Nanchang, China 330031",0,0,Nanrun Zhou,3,0.0000,quantum state;prepared quantum state;quantum entanglement;proposed protocol;proposed scheme;corresponding quantum measurement base;quantum channel;quantum channel authentication;quantum communication;quantum entanglement channel,0.0000
,0,0,Jun Liu,1,0.0000,fault diagnosis;inconsistent information system;rough set;Decision Rules Acquisition;fault system;inconsistent fault information system;inconsistent fault system;decision rule;generalized decision function;Inconsistent Fault Diagnosis System,0.0000
,1,1,Chenxi Li,3,0.2000,raffic state;ARIMA model;traffic state prediction;different period traffic data;different regional traffic state;different traffic condition;long time traffic state;regional road traffic;regional traffic;regional traffic condition,0.0900
,0,0,Chunfang Li,3,0.0000,software network;complex network;business software;instruct software fault localization;java software;software engineering;software environment;software fault;software macroscopic feature;software structure,0.0000
,0,0,Jicheng Liu,1,0.0000,Power Alliance;collaborative procurement problem;power generation enterprise;power intelligence center;Collaborative Procurement Decision-Making Model;Multi-agent collaborative framework;coal supplier;collaborative procurement;collaborative procurement decision model;coordination model,0.0000
,0,0,Keeo Lee,1,0.0000,application service model;dynamic learning content;previous learning experience;proposed service model;ulearning service scenario;contents stepwise;proposed approach;Seamless Context-Aware Service;Ubiquitous Computing EnvironmentWe;current device,0.0000
"School of ITEE, The University of Queensland, Australia",1,1,Faith Ngoran,1,0.2000,ontology-centric architecture;data management;data management system;data management task;data model;extensible scientific data management;greater data reuse;phenomics data;sound data management;systemsData management,0.1567
,0,0,Kang-whan Lee,1,0.0000,energy efficiency;cluster energy efficiency;energy consumption;energy level;energy value;high energy consumption;variable energy;algorithm technique;cluster head node;cluster problem,0.0000
"Dept. of Electronics and Radio Eng., Kyung Hee Univ., Yongin, South Korea;Samsung Electronics, Suwon, South Korea",0,0,Ki Hwan Lee,3,0.0000,secondary user network;secondary user;single secondary user result;multiple access;avaiable secondary user;available secondary user;joint algorithm;CR WMNs;adaptive transmission scheme;high throughput,0.0000
"Advanced Computing Systems, University of Southern California, Los Angeles, CA",34,0,Douglas E. Shook,2,17.0000,job type;computer-monitored usage data;usage measure;Greater accessibility;electronic messaging system;electronic messaging systemThis study;voice messaging;computer-based communication system;greater influence;media characteristic,8.5000
,0,0,Kyong Hwan Kim,1,0.0000,software product line method;consumer electronics;Product LineAs software product;reusing software architecture;separate software product;software architecture;software product;software quality;product family;Platform Maintenance,0.0000
"D.I.E.I.I., University of Salerno, Fisciano, SA, Italy",0,0,Roberto Conte,1,0.0000,cloud detection algorithm;cloud edge;cloud motion estimation;sequential MAP-MRF cloud detectionIn;MAP-MRF framework;MSG satellite sensor;better result;classical MRF;cloudy image;computationally efficient method,0.0000
,2,1,Kuei-Jen Lee,3,0.3333,Hurst Exponent;pathological brain state;different physiological;healthy volunteer;thermostable protein;Novel Classification Algorithm;Time Series;good classification algorithm;new algorithm;new classification algorithm,0.3167
"Department of Mathematics, University of California at Berkeley, Berkeley, USA 947203840",0,0,Paul W. Lee,1,0.0000,corresponding c-convex potential function;Lagrangian action;Optimal Transport MapsOptimal map;optimal transportation problem;simple sufficient condition;smooth function,0.0000
"Samsung Advanced Institute of Technology, ",9,1,Keechang Lee,1,1.5000,3-d model;3-d model parameter;3-d model structure;3-d reconstruction;3-d structure;Fast Automatic Single-View 3-d;vertical wall;Conditional Random Field model;model fitting problem;Urban ScenesWe,0.9250
"Seoul National University, School of Electrical Engineering, San 561, Shillimdong, Kwanakku, 151742, Seoul, Korea",7,1,Kyong Joon Lee,4,1.7500,proposed model;proposed method;higher-order smoothness prior;smoothness cost;smoothness prior;3-Doil painting;gradient node;HGN graph;higher-order spatial;3-Dstructure model,1.8958
,0,0,Kibeom Lee,1,0.0000,blog entry title;book classification;book classification scheme;entry title;related book category;Naver OpenAPI;library classification system;Extrapolating Blogger;Korean search engine;Library Classification SystemsAll word,0.0000
